Customer,acquirer,adm,amex,base24,base24eps,CardLinK_interface,core,discover,eftpos,elo,hiper,issuer,jcb,mastercard,match,migration,safe,smr,upi,us_pin,visa,ICG_VSAM_DB,custom,adm_amex,adm_core,adm_Discover,adm_jcb,adm_mastercard,adm_visa,smr_amex,smr_core,smr_discover,smr_ia,smr_jcb,smr_mastercard,smr_upi,smr_visa
ADIQ,,a,,,a,,a,,,,,,,a,,,,a,,,a,POSTGRESQL,a,,,,,,,,,,,,,,
Arab_Financial_Services_AFS,a,,,,,,a,a,,,,,a,a,,,,a,a,,a,ORACLE,,,,,,,,,,,,,,,
Bank_of_Abyssinia_BoA,a,,,,a,,a,,,,,a,,a,,,,a,a,,a,ORACLE,,,,,,,,,,,,,,,
Currency_Select,a,,,,,,a,,a,,,,a,a,,,,,a,,a,ORACLE,,,,,,,,,,,,,,,
Dashen,a,,,,a,,a,,,,,a,,a,,,,a,a,,a,ORACLE,,,,,,,,,,,,,,,
Dock_Conductor_CDT,a,,,,,,a,,,a,a,,,a,,,,,,,a,ORACLE,,,,,,,,,,,,,,,
Green_Dot,,,,,,,,,,,,,,,,,,,,,,POSTGRESQL,,,,,,,,,,,,,,,
ING,,,,,,,a,,,,,a,,a,,,a,,,,a,ORACLE,,,,,,,,,,,,,,,
NBE,a,a,,,,,,,,,,,,,,,,,,,,ORACLE,a,,,,,,,,,,,,,,
PayGo_C6,a,,,,,,a,,,a,a,,,a,,,,,,,a,POSTGRESQL,,,,,,,,,,,,,,,
PNMS _Argentina_GetNet_SMPS,,,,,,,,,,,,,,,,,,,,,,ORACLE,,,,,,,,,,,,,,,
PNMS _Mexico_GetNet_SMPS,a,,a,,a,,a,,,,,,,a,,,,,,,a,ORACLE,,,,,,,,,,,,,,,
Retail_Assist,a,,,,,,a,a,,,,,a,a,,,a,a,a,,a,POSTGRESQL,,,,,,,,,,,,,,,
Shift4,a,,a,,,,a,a,,,,,,a,,,,,,a,a,POSTGRESQL,a,,,,,,,a,,a,,,,,a
TietoEVRY_Sweden,a,,,,a,,a,,,,,,,a,,,,,,,a,POSTGRESQL,,,,,,,,,,,,,,,
Base,a,a,,a,a,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,ORACLE,,,,,,,,,,,,,,,
NETS,a,,,,a,,a,,,,,,,a,,,,,,,a,POSTGRESQL,,,,,,,,,,,,,,,
PNMS,a,,,a,a,,a,a,,a,a,,a,a,,,,,a,a,a,POSTGRESQL,,,,,,,,,,,,,,,
Redeban,,,a,a,a,,a,,,,,a,a,a,,,,,a,,a,ORACLE,,,,,,,,,,,,,,,
EIT,a,,a,a,a,,a,a,,a,a,a,a,a,,,,,a,a,a,ORACLE,,,,,,,,,,,,,,,
KUVAS,a,,,a,a,,a,,,,,a,,a,,,,,,,a,ORACLE,,,,,,,,,,,,,,,
LOGBANK,a,,,a,a,,a,a,,a,a,,a,a,,,,,a,a,a,ORACLE ,,,,,,,,,,,,,,,
CMM_ED,,a,a,a,a,,a,a,a,a,a,a,a,a,,a,a,a,a,a,a,ORACLE,,,,,,,,,,,,,,,
NovoPayment,,,a,a,a,,a,,,,,a,a,a,,,,,a,,a,POSTGRESQL,,,,,,,,,,,,,,,
Datafast,a,,,a,a,,a,,,,,,,a,,,,,,,a,ORACLE,,,,,,,,,,,,,,,
PTBANK ,a,,a,a,a,,a,,,,,a,a,a,,,,,a,,a,ORACLE,,,,,,,,,,,,,,,
ICG_ISS,,a,,a,,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,ORACLE,,,,,,,,,,,,,,,
ABN_AMRO,,,,,,,a,,,,,,,a,,,,,,,,,,,,,,,,,,,,,,,
NonBase,,,a,a,a,,a,a,,a,a,,a,a,,,,,a,a,a,,,,,,,,,,,,,,,,
PNMS_CHILE,a,,a,,a,,a,,,,,,,a,,,,,,,a,ORACLE,,,,,,,,,,,,,,,
